Agency,Use Case ID,Use Case Name,Bureau/Component,Stage of Development (Raw),Stage of Development,Is the AI use case high-impact? (Raw),Is the AI use case high-impact?,Justification,Use Case Topic Area,AI Classification,What problem is the AI intended to solve?,What are the expected benefits and positive outcomes from the AI for an agency's mission and/or the general public?,Describe the AI system's outputs.,Date when AI use case became operational or the pilot's start date,Was the system involved in this use case purchased from a vendor or developed under contract(s) or in-house?,Vendor(s) Name,Does this AI use case have an associated Authorization to Operate (ATO)?,System(s) Name,"Describe any data used to train, fine-tune, and/or evaluate performance of the model(s) used in this use case.","If the data is required to be publicly disclosed as an open government data asset, provide a link to the entry on the Federal Data Catalog.",Does this AI use case involve personally identifiable information (PII) that is maintained by the agency?,"If publicly available, provide the link to the AI use case's associated Privacy Impact Assessment (PIA).","Which, if any, demographic variables does the AI use case explicitly use as model features?",Does this project include custom-developed code?,"If the code is open source, provide the link for the publicly available source code.",Has pre-deployment testing been conducted for this AI use case?,Has an AI impact assessment been completed for this AI use case?,What are the potential impacts of using the AI for this particular use case and how were they identified?,Has an independent review of the AI use case been conducted?,"Is there a process to conduct ongoing monitoring to identify any adverse impacts to the performance and security of the AI functionality, as well as to privacy, civil rights, and civil liberties?",Has the agency established sufficient and periodic training for operators of the AI to interpret and act on the its output and managed associated risks?,Does this AI use case have an appropriate fail-safe that minimizes the risk of significant harm?,Is there an established appeal process in the event that an impacted individual would like to appeal or contest the AI system's outcome?,What steps has the agency taken to consult and incorporate feedback from end users of this AI use case and the public?
National Aeronautics And Space Administration,NASA-618,Generalized photometric neural network framework,GSFC: Goddard Space Flight Center,a) Pre-deployment – The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Science,Classical/Predictive Machine Learning,Generalized photometric neural network framework,Generalized photometric neural network framework,Predictions,,,,,Predictions,,,,,,,,,,,,,,,,
National Aeronautics And Space Administration,NASA-619,Generalized time-series anomaly detection for rapid data survey of in-situ observations,GSFC: Goddard Space Flight Center,a) Pre-deployment – The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Science,Classical/Predictive Machine Learning,Generalized time-series anomaly detection for rapid data survey of in-situ observations,Generalized time-series anomaly detection for rapid data survey of in-situ observations,Predictions,,,,,Predictions,,,,,,,,,,,,,,,,
National Aeronautics And Space Administration,NASA-620,Generating localized air quality forecasts for US embassies using ML and GEOS-FP,GSFC: Goddard Space Flight Center,a) Pre-deployment – The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Science,Classical/Predictive Machine Learning,Generating localized air quality forecasts for US embassies using ML and GEOS-FP,Generating localized air quality forecasts for US embassies using ML and GEOS-FP,Predictions,,,,,Predictions,,,,,,,,,,,,,,,,
National Aeronautics And Space Administration,NASA-621,Giovanni GPT,GSFC: Goddard Space Flight Center,a) Pre-deployment – The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Science,Generative AI,Giovanni GPT,Giovanni GPT,Predictions,,,,,Predictions,,,,,,,,,,,,,,,,
National Aeronautics And Space Administration,NASA-623,Ground Safety AI,GSFC: Goddard Space Flight Center,a) Pre-deployment – The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Science,Classical/Predictive Machine Learning,Ground Safety AI,Ground Safety AI,Predictions,,,,,Predictions,,,,,,,,,,,,,,,,
National Aeronautics And Space Administration,NASA-625,Hybrid Model to emulate GEOS physics,GSFC: Goddard Space Flight Center,a) Pre-deployment – The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Science,Classical/Predictive Machine Learning,Hybrid Model to emulate GEOS physics,Hybrid Model to emulate GEOS physics,Predictions,,,,,Predictions,,,,,,,,,,,,,,,,
National Aeronautics And Space Administration,NASA-626,Identification of dust from MODIS/VIIRS sensors using ML,GSFC: Goddard Space Flight Center,a) Pre-deployment – The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Science,Classical/Predictive Machine Learning,Identification of dust from MODIS/VIIRS sensors using ML,Identification of dust from MODIS/VIIRS sensors using ML,Predictions,,,,,Predictions,,,,,,,,,,,,,,,,
National Aeronautics And Space Administration,NASA-628,Improving greenhouse gas retrievals using a PCA-NN technique,GSFC: Goddard Space Flight Center,a) Pre-deployment – The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Science,Classical/Predictive Machine Learning,Improving greenhouse gas retrievals using a PCA-NN technique,Improving greenhouse gas retrievals using a PCA-NN technique,Predictions,,,,,Predictions,,,,,,,,,,,,,,,,
National Aeronautics And Space Administration,NASA-629,Improving quality of SO2 retrievals using a machine learning based analysis technique,GSFC: Goddard Space Flight Center,a) Pre-deployment – The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Science,Classical/Predictive Machine Learning,Improving quality of SO2 retrievals using a machine learning based analysis technique,Improving quality of SO2 retrievals using a machine learning based analysis technique,Predictions,,,,,Predictions,,,,,,,,,,,,,,,,
National Aeronautics And Space Administration,NASA-630,Improving uncertainty characterization for PACE polarimeters,GSFC: Goddard Space Flight Center,a) Pre-deployment – The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Science,Classical/Predictive Machine Learning,Improving uncertainty characterization for PACE polarimeters,Improving uncertainty characterization for PACE polarimeters,Predictions,,,,,Predictions,,,,,,,,,,,,,,,,
National Aeronautics And Space Administration,NASA-631,Integrating Research in Artificial Intelligence for Spacecraft Resilience (RAISR) into a FlatSat Hardware System,GSFC: Goddard Space Flight Center,a) Pre-deployment – The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Science,Classical/Predictive Machine Learning,Integrating Research in Artificial Intelligence for Spacecraft Resilience (RAISR) into a FlatSat Hardware System,Integrating Research in Artificial Intelligence for Spacecraft Resilience (RAISR) into a FlatSat Hardware System,Predictions,,,,,Predictions,,,,,,,,,,,,,,,,
National Aeronautics And Space Administration,NASA-632,Investigating the vanishing martian induced magnetosphere boundary using a Machine Learning approach,GSFC: Goddard Space Flight Center,a) Pre-deployment – The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Science,Classical/Predictive Machine Learning,Investigating the vanishing martian induced magnetosphere boundary using a Machine Learning approach,Investigating the vanishing martian induced magnetosphere boundary using a Machine Learning approach,Predictions,,,,,Predictions,,,,,,,,,,,,,,,,
National Aeronautics And Space Administration,NASA-636,Localized air quality forecasts for cities in Africa and South America,GSFC: Goddard Space Flight Center,a) Pre-deployment – The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Science,Classical/Predictive Machine Learning,Localized air quality forecasts for cities in Africa and South America,Localized air quality forecasts for cities in Africa and South America,Predictions,,,,,Predictions,,,,,,,,,,,,,,,,
National Aeronautics And Space Administration,NASA-639,Machine Learning for Space Mission Applications,GSFC: Goddard Space Flight Center,a) Pre-deployment – The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Science,Classical/Predictive Machine Learning,Machine Learning for Space Mission Applications,Machine Learning for Space Mission Applications,Predictions,,,,,Predictions,,,,,,,,,,,,,,,,
National Aeronautics And Space Administration,NASA-640,Machine Learning volcanic SO2 height retrievals,GSFC: Goddard Space Flight Center,a) Pre-deployment – The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Science,Classical/Predictive Machine Learning,Machine Learning volcanic SO2 height retrievals,Machine Learning volcanic SO2 height retrievals,Predictions,,,,,Predictions,,,,,,,,,,,,,,,,
National Aeronautics And Space Administration,NASA-641,Machine-enabled modeling of terminus ablation for Greenland's outlet glaciers,GSFC: Goddard Space Flight Center,a) Pre-deployment – The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Science,Classical/Predictive Machine Learning,Machine-enabled modeling of terminus ablation for Greenland's outlet glaciers,Machine-enabled modeling of terminus ablation for Greenland's outlet glaciers,Predictions,,,,,Predictions,,,,,,,,,,,,,,,,
National Aeronautics And Space Administration,NASA-642,Machine-Learning based Auroral Ionospheric electrodynamics Model (ML-AIM),GSFC: Goddard Space Flight Center,a) Pre-deployment – The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Science,Classical/Predictive Machine Learning,A suite of machine learning models for high-latitude electrodynamics,Machine-Learning based Auroral Ionospheric electrodynamics Model (ML-AIM),Predictions,,,,,Predictions,,,,,,,,,,,,,,,,
National Aeronautics And Space Administration,NASA-643,Machine-learning based radiative transfer model and LWP/IWP,GSFC: Goddard Space Flight Center,a) Pre-deployment – The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Science,Classical/Predictive Machine Learning,Machine-learning based radiative transfer model and LWP/IWP,Machine-learning based radiative transfer model and LWP/IWP,Predictions,,,,,Predictions,,,,,,,,,,,,,,,,
National Aeronautics And Space Administration,NASA-644,MAGSTAR: Magnetometer Interference Mitigation with Statistical Decomposition and Artificial Intelligence,GSFC: Goddard Space Flight Center,a) Pre-deployment – The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Science,Classical/Predictive Machine Learning,MAGSTAR: Magnetometer Interference Mitigation with Statistical Decomposition and Artificial Intelligence,MAGSTAR: Magnetometer Interference Mitigation with Statistical Decomposition and Artificial Intelligence,Predictions,,,,,Predictions,,,,,,,,,,,,,,,,
National Aeronautics And Space Administration,NASA-645,Making a long-term data record of opportunistic experiments with deep learning,GSFC: Goddard Space Flight Center,a) Pre-deployment – The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Science,Classical/Predictive Machine Learning,Making a long-term data record of opportunistic experiments with deep learning,Making a long-term data record of opportunistic experiments with deep learning,Predictions,,,,,Predictions,,,,,,,,,,,,,,,,
National Aeronautics And Space Administration,NASA-646,"MATISSE: MAchine inTelligence for Small SatellitEs - application of AI to permit autonomic science triage for small, power starved satellites",GSFC: Goddard Space Flight Center,a) Pre-deployment – The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Science,Classical/Predictive Machine Learning,"MATISSE: MAchine inTelligence for Small SatellitEs - application of AI to permit autonomic science triage for small, power starved satellites","MATISSE: MAchine inTelligence for Small SatellitEs - application of AI to permit autonomic science triage for small, power starved satellites",Predictions,,,,,Predictions,,,,,,,,,,,,,,,,
National Aeronautics And Space Administration,NASA-647,MAVEN observation of Kelvin-Helmholtz Vortices using Statistical and Machine Learning Techniques,GSFC: Goddard Space Flight Center,a) Pre-deployment – The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Science,Classical/Predictive Machine Learning,MAVEN observation of Kelvin-Helmholtz Vortices using Statistical and Machine Learning Techniques,MAVEN observation of Kelvin-Helmholtz Vortices using Statistical and Machine Learning Techniques,Predictions,,,,,Predictions,,,,,,,,,,,,,,,,
National Aeronautics And Space Administration,NASA-648,Message Anomaly Detection for Command and Telemetry Systems (MADCAT),GSFC: Goddard Space Flight Center,a) Pre-deployment – The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Science,Classical/Predictive Machine Learning,Message Anomaly Detection for Command and Telemetry Systems (MADCAT),Message Anomaly Detection for Command and Telemetry Systems (MADCAT),Predictions,,,,,Predictions,,,,,,,,,,,,,,,,
National Aeronautics And Space Administration,NASA-649,Modeling NICER background,GSFC: Goddard Space Flight Center,a) Pre-deployment – The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Science,Classical/Predictive Machine Learning,Modeling NICER background,Modeling NICER background,Predictions,,,,,Predictions,,,,,,,,,,,,,,,,
National Aeronautics And Space Administration,NASA-650,NAMASTE,GSFC: Goddard Space Flight Center,a) Pre-deployment – The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Science,Classical/Predictive Machine Learning,NAMASTE,NAMASTE,Predictions,,,,,Predictions,,,,,,,,,,,,,,,,
National Aeronautics And Space Administration,NASA-651,NASA Evolutionary Programming Analytic Center (NEPAC),GSFC: Goddard Space Flight Center,a) Pre-deployment – The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Science,Classical/Predictive Machine Learning,NASA Evolutionary Programming Analytic Center (NEPAC),NASA Evolutionary Programming Analytic Center (NEPAC),Predictions,,,,,Predictions,,,,,,,,,,,,,,,,
National Aeronautics And Space Administration,NASA-652,National Forest Mapping Old Growth Forest,GSFC: Goddard Space Flight Center,a) Pre-deployment – The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Science,Classical/Predictive Machine Learning,National Forest Mapping Old Growth Forest,National Forest Mapping Old Growth Forest,Predictions,,,,,Predictions,,,,,,,,,,,,,,,,
National Aeronautics And Space Administration,NASA-653,Natural Language Processing and Topic Modeling of the 25-Year General Coordinates Network (GCN) Circulars Archive,GSFC: Goddard Space Flight Center,a) Pre-deployment – The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Science,Natural Language Processing (NLP),Natural Language Processing and Topic Modeling of the 25-Year General Coordinates Network (GCN) Circulars Archive,Natural Language Processing and Topic Modeling of the 25-Year General Coordinates Network (GCN) Circulars Archive,Predictions,,,,,Predictions,,,,,,,,,,,,,,,,
National Aeronautics And Space Administration,NASA-654,Navajo Nation Feature Mapping,GSFC: Goddard Space Flight Center,a) Pre-deployment – The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Science,Classical/Predictive Machine Learning,Navajo Nation Feature Mapping,Navajo Nation Feature Mapping,Predictions,,,,,Predictions,,,,,,,,,,,,,,,,
National Aeronautics And Space Administration,NASA-655,Neural Network based observation operator to bias correct SMAP brightness temperatures for assimilation,GSFC: Goddard Space Flight Center,a) Pre-deployment – The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Science,Classical/Predictive Machine Learning,Neural Network based observation operator to bias correct SMAP brightness temperatures for assimilation,Neural Network based observation operator to bias correct SMAP brightness temperatures for assimilation,Predictions,,,,,Predictions,,,,,,,,,,,,,,,,
National Aeronautics And Space Administration,NASA-656,Neutron star synthetic wave form generation,GSFC: Goddard Space Flight Center,a) Pre-deployment – The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Science,Classical/Predictive Machine Learning,Neutron star synthetic wave form generation,Neutron star synthetic wave form generation,Predictions,,,,,Predictions,,,,,,,,,,,,,,,,
National Aeronautics And Space Administration,NASA-657,Next generation cloud and aerosol parameterizations for atmospheric models,GSFC: Goddard Space Flight Center,a) Pre-deployment – The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Science,Classical/Predictive Machine Learning,Next generation cloud and aerosol parameterizations for atmospheric models,Next generation cloud and aerosol parameterizations for atmospheric models,Predictions,,,,,Predictions,,,,,,,,,,,,,,,,
National Aeronautics And Space Administration,NASA-658,Nitrogen dioxide retrieval using hyper-spectral imagers,GSFC: Goddard Space Flight Center,a) Pre-deployment – The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Science,Classical/Predictive Machine Learning,Nitrogen dioxide retrieval using hyper-spectral imagers,Nitrogen dioxide retrieval using hyper-spectral imagers,Predictions,,,,,Predictions,,,,,,,,,,,,,,,,
National Aeronautics And Space Administration,NASA-659,Physics of neural network power-law scaling,GSFC: Goddard Space Flight Center,a) Pre-deployment – The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Science,Classical/Predictive Machine Learning,Physics of neural network power-law scaling,Physics of neural network power-law scaling,Predictions,,,,,Predictions,,,,,,,,,,,,,,,,
National Aeronautics And Space Administration,NASA-660,Planetary Trajectory Design Using Generative AI Tools,GSFC: Goddard Space Flight Center,a) Pre-deployment – The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Science,Classical/Predictive Machine Learning,Planetary Trajectory Design Using Generative AI Tools,Planetary Trajectory Design Using Generative AI Tools,Predictions,,,,,Predictions,,,,,,,,,,,,,,,,
National Aeronautics And Space Administration,NASA-661,Planted Area mapping in food insecure conflict zones,GSFC: Goddard Space Flight Center,a) Pre-deployment – The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Science,Classical/Predictive Machine Learning,Planted Area mapping in food insecure conflict zones,Planted Area mapping in food insecure conflict zones,Predictions,,,,,Predictions,,,,,,,,,,,,,,,,
National Aeronautics And Space Administration,NASA-662,PM2.5 Estimation using MERRA2 and Advanced machine learning model over US,GSFC: Goddard Space Flight Center,a) Pre-deployment – The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Science,Classical/Predictive Machine Learning,PM2.5 Estimation using MERRA2 and Advanced machine learning model over US,PM2.5 Estimation using MERRA2 and Advanced machine learning model over US,Predictions,,,,,Predictions,,,,,,,,,,,,,,,,
National Aeronautics And Space Administration,NASA-663,PM2.5 Product development using AERONET data,GSFC: Goddard Space Flight Center,a) Pre-deployment – The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Science,Classical/Predictive Machine Learning,PM2.5 Product development using AERONET data,PM2.5 Product development using AERONET data,Predictions,,,,,Predictions,,,,,,,,,,,,,,,,
National Aeronautics And Space Administration,NASA-664,Prediction of Spaceflight Mass Spectrometry Chemical Information with Neural Networks,GSFC: Goddard Space Flight Center,a) Pre-deployment – The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Science,Classical/Predictive Machine Learning,Prediction of Spaceflight Mass Spectrometry Chemical Information with Neural Networks,Prediction of Spaceflight Mass Spectrometry Chemical Information with Neural Networks,Predictions,,,,,Predictions,,,,,,,,,,,,,,,,
National Aeronautics And Space Administration,NASA-665,Prediction of whitecaps,GSFC: Goddard Space Flight Center,a) Pre-deployment – The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Science,Classical/Predictive Machine Learning,Prediction of whitecaps,Prediction of whitecaps,Predictions,,,,,Predictions,,,,,,,,,,,,,,,,
National Aeronautics And Space Administration,NASA-666,Quantifying Uncertainty and Constraining Parameterizations of Clouds in Earth System Models using NASA Observations,GSFC: Goddard Space Flight Center,a) Pre-deployment – The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Science,Classical/Predictive Machine Learning,Quantifying Uncertainty and Constraining Parameterizations of Clouds in Earth System Models using NASA Observations,Quantifying Uncertainty and Constraining Parameterizations of Clouds in Earth System Models using NASA Observations,Predictions,,,,,Predictions,,,,,,,,,,,,,,,,
National Aeronautics And Space Administration,NASA-667,Rangelands Water Monitoring and Forecasting System,GSFC: Goddard Space Flight Center,a) Pre-deployment – The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Science,Classical/Predictive Machine Learning,Rangelands Water Monitoring and Forecasting System,Rangelands Water Monitoring and Forecasting System,Predictions,,,,,Predictions,,,,,,,,,,,,,,,,
National Aeronautics And Space Administration,NASA-668,Reconstruction of VIIRS Level1 geolocation data,GSFC: Goddard Space Flight Center,a) Pre-deployment – The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Science,Classical/Predictive Machine Learning,Reconstruction of VIIRS Level1 geolocation data,Reconstruction of VIIRS Level1 geolocation data,Predictions,,,,,Predictions,,,,,,,,,,,,,,,,
National Aeronautics And Space Administration,NASA-669,Reproducing surface irradiance and penetration depth retrievals using machine learning,GSFC: Goddard Space Flight Center,a) Pre-deployment – The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Science,Classical/Predictive Machine Learning,Reproducing surface irradiance and penetration depth retrievals using machine learning,Reproducing surface irradiance and penetration depth retrievals using machine learning,Predictions,,,,,Predictions,,,,,,,,,,,,,,,,
National Aeronautics And Space Administration,NASA-670,RST I&T Science Data Telemetry Query,GSFC: Goddard Space Flight Center,a) Pre-deployment – The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Science,Classical/Predictive Machine Learning,RST I&T Science Data Telemetry Query,RST I&T Science Data Telemetry Query,Predictions,,,,,Predictions,,,,,,,,,,,,,,,,
National Aeronautics And Space Administration,NASA-671,RST Image Anomaly Detection,GSFC: Goddard Space Flight Center,a) Pre-deployment – The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Science,Classical/Predictive Machine Learning,RST Image Anomaly Detection,RST Image Anomaly Detection,Predictions,,,,,Predictions,,,,,,,,,,,,,,,,
National Aeronautics And Space Administration,NASA-672,SatVision: Precursor for a foundation model developed using MODIS surface reflectance data,GSFC: Goddard Space Flight Center,a) Pre-deployment – The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Science,Classical/Predictive Machine Learning,SatVision: Precursor for a foundation model developed using MODIS surface reflectance data,SatVision: Precursor for a foundation model developed using MODIS surface reflectance data,Predictions,,,,,Predictions,,,,,,,,,,,,,,,,
National Aeronautics And Space Administration,NASA-673,Science Autonomy Applications for ExoMars/MOMA,GSFC: Goddard Space Flight Center,a) Pre-deployment – The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Science,Classical/Predictive Machine Learning,Science Autonomy Applications for ExoMars/MOMA,Science Autonomy Applications for ExoMars/MOMA,Predictions,,,,,Predictions,,,,,,,,,,,,,,,,
National Aeronautics And Space Administration,NASA-674,Science Keyword Link Prediction,GSFC: Goddard Space Flight Center,a) Pre-deployment – The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Science,Classical/Predictive Machine Learning,Science Keyword Link Prediction,Science Keyword Link Prediction,Predictions,,,,,Predictions,,,,,,,,,,,,,,,,
National Aeronautics And Space Administration,NASA-675,Self-supervised learning for modeling gamma-ray variability in blazars,GSFC: Goddard Space Flight Center,a) Pre-deployment – The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Science,Classical/Predictive Machine Learning,Self-supervised learning for modeling gamma-ray variability in blazars,Self-supervised learning for modeling gamma-ray variability in blazars,Predictions,,,,,Predictions,,,,,,,,,,,,,,,,
National Aeronautics And Space Administration,NASA-678,Smart NINT,GSFC: Goddard Space Flight Center,a) Pre-deployment – The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Science,Classical/Predictive Machine Learning,Smart NINT,Smart NINT,Predictions,,,,,Predictions,,,,,,,,,,,,,,,,
National Aeronautics And Space Administration,NASA-680,Software Issue Classification with LLM,GSFC: Goddard Space Flight Center,a) Pre-deployment – The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Information Technology,Natural Language Processing (NLP),Software Issue Classification with LLM,Software Issue Classification with LLM,Predictions,,,,,Predictions,,,,,,,,,,,,,,,,
National Aeronautics And Space Administration,NASA-683,SpRInT to Advance the SOA of Intelligent Space Systems,GSFC: Goddard Space Flight Center,a) Pre-deployment – The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Science,Classical/Predictive Machine Learning,SpRInT to Advance the SOA of Intelligent Space Systems,SpRInT to Advance the SOA of Intelligent Space Systems,Predictions,,,,,Predictions,,,,,,,,,,,,,,,,
National Aeronautics And Space Administration,NASA-684,Super Resolution to enhance climate reanalysis data,GSFC: Goddard Space Flight Center,a) Pre-deployment – The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Science,Computer Vision,Super Resolution to enhance climate reanalysis data,Super Resolution to enhance climate reanalysis data,Predictions,,,,,Predictions,,,,,,,,,,,,,,,,
National Aeronautics And Space Administration,NASA-685,Super-Resolution for Nighttime Lights,GSFC: Goddard Space Flight Center,a) Pre-deployment – The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Science,Computer Vision,Super-Resolution for Nighttime Lights,Super-Resolution for Nighttime Lights,Predictions,,,,,Predictions,,,,,,,,,,,,,,,,
National Aeronautics And Space Administration,NASA-686,Terrain Modeling and Landmark Navigation with Radiance Fields,GSFC: Goddard Space Flight Center,a) Pre-deployment – The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Science,Classical/Predictive Machine Learning,Terrain Modeling and Landmark Navigation with Radiance Fields,Terrain Modeling and Landmark Navigation with Radiance Fields,Predictions,,,,,Predictions,,,,,,,,,,,,,,,,
National Aeronautics And Space Administration,NASA-687,Terrestrial Environmental Rapid-Replicating and Assimilation Hydrometeorological (TERRAHydro) System,GSFC: Goddard Space Flight Center,a) Pre-deployment – The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Science,Classical/Predictive Machine Learning,Terrestrial Environmental Rapid-Replicating and Assimilation Hydrometeorological (TERRAHydro) System,Terrestrial Environmental Rapid-Replicating and Assimilation Hydrometeorological (TERRAHydro) System,Predictions,,,,,Predictions,,,,,,,,,,,,,,,,
National Aeronautics And Space Administration,NASA-688,Text to Spacecraft,GSFC: Goddard Space Flight Center,a) Pre-deployment – The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Science,Classical/Predictive Machine Learning,Text to Spacecraft,Text to Spacecraft,Predictions,,,,,Predictions,,,,,,,,,,,,,,,,
National Aeronautics And Space Administration,NASA-690,The evaluation of clouds in R21C data via a ML-based MODIS simulator,GSFC: Goddard Space Flight Center,a) Pre-deployment – The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Science,Classical/Predictive Machine Learning,The evaluation of clouds in R21C data via a ML-based MODIS simulator,The evaluation of clouds in R21C data via a ML-based MODIS simulator,Predictions,,,,,Predictions,,,,,,,,,,,,,,,,
National Aeronautics And Space Administration,NASA-692,Toward ice sheet surface data assimilation: Employing satellite observations and machine learning to improve model representation of ice sheet surface melt,GSFC: Goddard Space Flight Center,a) Pre-deployment – The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Science,Classical/Predictive Machine Learning,Identify sources of error in an Earth system model component.,"Improve the representation of the Earth system in diagnostic model simulations, data assimilation, and predictions.",The AI system outputs predictions of model error under a wide range of conditions.,,,,,The AI system outputs predictions of model error under a wide range of conditions.,,,,,,,,,,,,,,,,
National Aeronautics And Space Administration,NASA-693,Towards an Integrated Observation System for OH: A Case Study in the Tropics,GSFC: Goddard Space Flight Center,a) Pre-deployment – The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Science,Computer Vision,Towards Learning-based Visual Perception with GAVIN: the Goddard AI Verification and INtegration Tool Suite,Towards an Integrated Observation System for OH: A Case Study in the Tropics,Predictions,,,,,Predictions,,,,,,,,,,,,,,,,
National Aeronautics And Space Administration,NASA-694,Towards Learning-based Visual Perception with GAVIN: the Goddard AI Verification and INtegration Tool Suite,GSFC: Goddard Space Flight Center,a) Pre-deployment – The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Science,Computer Vision,Towards Learning-based Visual Perception with GAVIN: the Goddard AI Verification and INtegration Tool Suite,Towards Learning-based Visual Perception with GAVIN: the Goddard AI Verification and INtegration Tool Suite,Predictions,,,,,Predictions,,,,,,,,,,,,,,,,
National Aeronautics And Space Administration,NASA-703,Depth from Spectral Defocus for Lunar Regolith,ARC: Ames Research Center,a) Pre-deployment – The use case is in a development or acquisition status.,Pre-deployment,c) Not high-impact,Not high-impact,,Science,Computer Vision,Our technique reconstructs a 3D model of a scene based on images taken from a single viewpoint -- via estimating a depth map of a scene based on the defocus of different objects in captured images-- illuminated with light of different wavelengths. This pipeline has potential applications for 3D reconstruction on upcoming lunar missions carrying a multi-spectral imaging system as payload.,Our pipeline has shown success on synthetic lunar data sets taken with the Ames Imaging Module (NIRVSS-AIM) camera system.,3D model of a scene,,,,,3D model of a scene,,,,,,,,,,,,,,,,
