"SECTION 1: Use Case Identifiers
Complete this Section for the following Use Cases: Retired,  Pre-deployment, Pilot, and Deployed",,,,,,,,"SECTION 2: Use Case Summary
Complete this Section for the following Use Cases: Pre-deployment, Pilot, and Deployed",,,,,"SECTION 3: Documentation
Complete this Section for the following Use Cases: Pilot, and Deployed

",,,,,"SECTION 4: Data & Code
Complete this Section for the following Use Cases: Pilot, and Deployed",,,,,,,"
SECTION 5: Risk Management 
Complete this Section for the following Use Case: Deployed and if ""HIGH-IMPACT"" from SECTION 1

",,,,,,,,,,,,,,,,,,
DOI-0065,DARPAs CriticalMAAS [2024 INV#WO0000000108419; WO0000000096527],USGS,caio@doi.gov,a) No,Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"Identify patterns in the data, isolate those that correlate with known mineral deposits, and integrate these with other geospatial layers to generate a predictive map for guiding future mineral exploration.","Assessment of the domestic availability of critical minerals. Insight into the U.S. critical mineral supply landscape. Evaluation of national critical mineral supply chains. Analysis of domestic sources and supply of critical minerals.
",Predictive maps,9/22/2024,Developed in-house,,TRUE,,"Mineral Resource Data System, US MIN, National Map database",,FALSE,,None of the Above,FALSE,https://github.com/orgs/DARPA-CRITICALMAAS/repositories,,,,,,,,,,,,,,,,,,,
DOI-0064,"Willamette Regional IWAAs, gradient boosted ML stream temperature modeling.",USGS,caio@doi.gov,a) No,Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Improve model predictions of stream temperature across the basin over traditional methods. ,"The expected benefits and outcomes are improved stream temperature predictions, which is a cornerstone of the integrated water availability assessment for the region, and methods that are transferable across the basin. ",The AI system outputs daily modeled stream temperatures.,3/12/2025,Developed in-house,,FALSE,,We are using publicly available stream temperature to train the model and a variety of hydroclimatic datasets to force the model. ,https://doi.org/10.5066/P1M7G83G,FALSE,,None of the Above,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0063,"Mapping wood and wood hazards in the Willamette Basin, Oregon",USGS,caio@doi.gov,a) No,Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Other,"Large wood in rivers pose hazards to people and infrastructure, particularly post wildfire. This work uses neural network models to map large wood in rivers from aerial imagery to understand how wood is distributed throughout river systems pre and post wildfire.","This work will help inform infrastructure hazards such as at dams and bridges, as well as to river users, such as rafters, inter-tubers, and fishermen.",The system output is mapping the location and extent of large wood pre and post wildfires ,10/1/2025,Developed in-house,,FALSE,,"Training data is labeled imagery, such as ""wood"", ""water"", ""sediment"", ""vegetation"", and cross-learning from a previous iteration of the model developed in a different watershed.",,FALSE,,None of the Above,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0062,Automated power line extraction using deep learning,USGS,caio@doi.gov,a) No,Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Computer Vision,"Provide a national, consistent, powerline dataset.",Cost savings over manual creation. Improves public access to information.,Geospatial dataset,9/1/2025,Developed in-house,,FALSE,,Power lines from various sources,,FALSE,,None of the Above,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0058,Aveva Predictive Analytics (APA),BOR,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Other,Classical/Predictive Machine Learning,A means to predict and prevent failure is at the forefront of operations and maintenance.  One of the best economical means to accomplish this is through data anomaly detection and predictive maintenance for power generation applications. ,"The maintenance savings to Reclamation for the successful implementation of predictive maintenance is estimated to exceed $60 million dollars 
per year when implemented across Reclamation’s hydropower fleet.","Anomaly detection, fault diagnostics, analysis of startup/shutdown conditions, configurable model frequencies, alerts, case management, etc.",,,,FALSE,,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0057,FBMS UPC Chatbot,OCIO,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Procurement & Financial Management,Generative AI,"An OIG draft finding identified a significant number of purchase requests where the ""Other"" UPCs were used instead of the IT related UPCs that would trigger an IT Approval. This misclassification undermines OCIO's ability to track IT spending",DOI staff that initiate purchase requests will interact with the UPC Chatbot Assistant so that the correct UPC code is used especially when planned purchases are IT related.,"The correct UPC will be provided to the requestor and used on the Purchase Request in FBMS. Longer term solution would be for the auto generation of the Purchase request with the correct UPC pre-populated on the PR. It is also, still imperative that the FBMS user responsible for the PR must also validate the UPC as well as the IT Approver.",,,,FALSE,,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0056,General Land Office Records  Modernization,BLM,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Service Delivery,Natural Language Processing (NLP),"Using optical character recognition and natural language processing, the GLO system will automatically extract text and data elements from scanned land record documents that define mineral and lands ownership. Specifically, publicly available land records including land patents (title deeds), survey plats and field notes, and other title documents.","reduced labor in collecting metadata for document discovery
","digitized records / data extraction
",,,,FALSE,,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0055,AI Trapline for Fire,BLM,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Emergency Management,Agentic AI,"This project would gather various information from various websites/applications after manipulating the inputs on the webpage to get images and store them for human analysis. Create national weather synopsis. This is used for national level management briefings for fuels/weather conditions forecasts in regard to wildland fire and all hazard response, planning and resource allocation.
",Essentially it would allow SME's more time to interpret and create products instead of spending hours gathering them every day. ,"Images and information from various sites after manipulating the inputs to get them. organizing them and saving them for interpretation. 
",,,,FALSE,,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0054,RUDD AI Development of a Small Language Model for Land Use Planning Decisions Consolidation ,BLM,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Administrative Functions,Natural Language Processing (NLP),"Consolidate Resource Management Planning Documents including but not limited to Resource Management Plans and Amendments to create a ""current"" decisions outputs. 
","Quickly identify what decisions apply in a land use planning area. 
","Document and Database outputs of current land use planning decisions in a Report Format
",,,,FALSE,,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0053,Assessment Inventory and Monitoring (AIM) Chatbot,BLM,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Service Delivery,Generative AI,"The AIM program provides access to data from 73,000+ monitoring locations and offers tools, guidance, and workflows to support BLM staff in structured, repeatable data collection and application. While resources enhance decision-making, their volume makes discovery and use challenging, often requiring AIM team support. To streamline access, we propose a Retrieval-Augmented Generation (RAG) chatbot that uses AI to summarize documents and tools via metadata and embedded PDFs, enabling natural language queries. This will help users quickly identify and apply resources relevant to their workflows, reduce manual search time, and improve access to credible scientific evidence for decision-making. The chatbot will also free AIM staff to focus on advanced analysis by handling basic inquiries, increasing efficiency and capacity for both users and the Bureau.",Data collected under the AIM program are made available for both internal BLM use in decision making and public consumption.  ,"Text-based recommendations based on internal guidance documents, monitoring methodologies, and example uses case pertaining to monitoring. The outputs direct the users that the AI responses are strictly for information gathering purposes.
",,,,FALSE,,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0051,NEPA Document Generation,BLM,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Administrative Functions,Generative AI,"Utilize generative AI to generate content for NEPA documentation. Will gather information from ePlanning, and with the link from other systems will be able to draw the project information from that system into ePlanning and then into a CE.  We have the templates mapped with about 35% of the information coming from either ePlanning or ePlanning/MLRS.","Faster processing and writing of NEPA documents, which can often be time intensive.",content for NEPA documents.,,,,FALSE,,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0050,GraphRAG Comment Analysis and Management Solution,BLM,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Administrative Functions,Generative AI,"Comment analysis - identifying and binning comments from the public.  Will intake comments from a variety of sources and AI then breaks them down by issue area.  Anticipate training that model with NEPA projects, rulemaking, and public comments on a draft document.  ",Speed of comment response.  Handle the responses and consolidate responses. ,"Analysis, binning, categorization, and responses.",,,,FALSE,,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0049,User guides/training provided in chat form,BLM,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Information Technology,Generative AI,"We have multiple systems with multiple user guides that are 200 plus pages. Additionally, we have a significant amount of training material. Our customer survey responses always identify that they are not usable because they are so dense and they are often needed in the field, i.e., they are too cumbersome to download and read on tablets and phones. I would like them to be available to the AI as source material so that our users can ask specific questions. I want to do this without having to rewrite and format the PDF documents. The applications are only for internal users, and the documentation is not considered sensitive. If this use case works, I have other documentation I would like to also consider in the future.","We have 10 applications, each with user guides that range from minimal to over 200 pages. This will create efficiency by helping the staff finding relevant information when needed. This should reduce the amount of training material and user guides created",Recommendation for the business user on how to accomplish their tasks in an efficient and accurate way.,,,,FALSE,,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0048,Using Machine Learning to Automate Crack Mapping and Structural Health Monitoring,BOR,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Energy & the Environment,Classical/Predictive Machine Learning,"Monitoring infrastructure health, particularly crack mapping in large concrete structures is highly time consuming and can be subject to the individual performing the work.",Automated crack mapping via machine learning trained on high-resolution imagery would increase the efficiency of this task and make the result more consistent. ,A workflow and method to automate crack mapping in large infrastructure imagery. ,,,,FALSE,,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0047,Seasonal Water Supply Forecasting: Pyforecast [2024 INV#DOI-69],BOR,caio@doi.gov,a) No,Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Energy & the Environment,Classical/Predictive Machine Learning,Reclamation utilizes water supply forecasts (cumulative expected inflow over multiple months) to inform reservoir operations and water allocation decisions. ,More skillful forecasts and internal forecasting tools support improved reservoir operations. ,"Pyforecast tool is available to Reclamation reservoir operators, allowing them to produce in-house forecasts between forecasts issued by other agencies and to explore forecast sensitivity to different scenarios. ",1/1/2021,Developed in-house,,FALSE,,Uses a variety of public data,,FALSE,,None of the Above,FALSE,https://github.com/DOI-BOR/PyForecast,,,,,,,,,,,,,,,,,,,
DOI-0046,Piloting Machine Learning Inflow Forecasts Across Reclamation [2024 INV#DOI-58],BOR,caio@doi.gov,a) No,Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Energy & the Environment,Classical/Predictive Machine Learning,Reclamation utilizes streamflow forecasts to inform reservoir operations. ,"More skillful forecasts enable improved reservoir operations, yielding benefits such as more hydropower generation, increased water deliveries, and more effective flood risk management. ",Reservoir operators have access to machine-learning based streamflow forecasts that were shown to be more skillful than other available models and forecast products. ,9/17/2025,Purchased from a vendor,Upstream Tech,FALSE,,Streamflow forecasts,https://www.upstream.tech/hydroforecast,FALSE,,None of the Above,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0045,Machine Learning Refines Quagga Habitat Suitability [2024 INV#DOI-74 (NEW)],BOR,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Energy & the Environment,Classical/Predictive Machine Learning,Invasive mussels pose a number of challenges for the continuous operation of water infrastructure. ,Understanding habitat suitability can inform management actions. ,"Using AI/ML methods, habitat variables were identified that may be limiting mussel establishment at reservoirs and may be influencing sudden declines in mussel populations at infested reservoirs. ",,,,FALSE,,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0044,Machine Learning Applied to Geotechnical Engineering: Statistical Methods Applied to Seismic Analysis [2024 INV#DOI-71 (NEW)] ,BOR,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Energy & the Environment,Classical/Predictive Machine Learning,The process for determining the seismic risk for dams is time intensive. ,"Leveraging machine learning, high-level facility seismic risk screening can be conducted more efficiently. ",A method that improves efficiency and consistency of risk assessments. ,,,,FALSE,,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0043,Machine Learning for Chemical Savings at Reverse Osmosis Plants [2024 INV#DOI-73 (NEW)],BOR,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Energy & the Environment,Classical/Predictive Machine Learning,Water treatment processes are often complex and maintenance activities present tradeoffs between cost and system performance. ,This project aims to use machine learning to optimize the usage of membrane cleaning chemicals in a water treatment plant using a reverse osmosis process. This would lower the unit cost of water produced. ,A tool to inform plant operations as to best time to clean/perform maintenance rather than a fixed schedule or threshold. ,,,,FALSE,,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0041,Improved Processing and Analysis of Test and Operating Data from Rotating Machines [2024 INV#DOI-62],BOR,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Energy & the Environment,Classical/Predictive Machine Learning,"This research strives to aid in the development of condition-based maintenance (CBM) and predictive maintenance (PdM) tools for Hydroelectric Facilities (Generators and Pumps) by exploring, testing, and developing software tools to process data collected from rotating machines. These software tools use various forms of AI/ML.",CBM and PdM aim to increase hydropower generation by reducing outages for maintenance and lower O&M costs by only performing maintenance when needed. ,Data-driven tools using AI/ML techniques to inform power plant maintenance. ,,Developed in-house,,FALSE,,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0040,DocketScope,FWS,caio@doi.gov,a) No,Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Administrative Functions,Natural Language Processing (NLP),Facilitate review of public comments.,Use AI capabilities and detections to assist with timely and accurate comment analysis.,Produce extractive summaries of comments. Detect general sentiment and requests for comment period extensions or public meeting requests.  AI tools are supplemental and intended to aid in efficiently identifying key information within comments. Results are verified by analysts during comment review.,8/4/2025,Purchased from a vendor,"The Regulatory Group, Inc.",TRUE,,Comments,,FALSE,,None of the Above,FALSE,,,,,Yes – by another appropriate agency office or reviewer not directly involved in the AI’s development,"Yes, sufficient monitoring protocols have been established","Yes, sufficient and periodic training has been established",Not applicable,Establishment of an appropriate appeal process is in-progress,,,,,,,,,,,
DOI-0039,Geothermal Energy Assessments,USGS,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Energy & the Environment,Classical/Predictive Machine Learning,"Executive Order 14156 – Declaring a National Energy Emergency, directs federal agencies to identify and develop our Nations energy resources.",New methodology developed by the USGS leverages AI and advanced machine learning (ML) techniques to accelerate how we assess geothermal energy potential and brings new speed and precision to our science to unleash American energy.,The USGS is developing data-driven machine learning strategies (a form of artificial intelligence) to produce new maps of hydrothermal resource favorability for the Great Basin in the western US as part of our geothermal resource estimation efforts and to map geologic features and transitions using EarthMRI datasets in support of energy and minerals resource assessments.,,,,FALSE,,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0038,Lithium Potential Assessments,USGS,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Energy & the Environment,Classical/Predictive Machine Learning,Identifying sources of lithium is critical to our Nations economic prosperity and security. ,The USGS has used machine learning to find new domestic sources of critical minerals including lithium.,"USGS used AI to identify the large lithium potential of the Smackover Formation in Arkansas, which could unlock a new source of domestic supply.",,,,FALSE,,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0037,Mineral Resource Assessments,USGS,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Energy & the Environment,Classical/Predictive Machine Learning,Mineral resource assessments require a significant amount of data evaluation and processing.,"AI-assisted methods are used to modernize assessment methodologies and capacity, allowing the USGS to meet the increasing demand for critical mineral assessments more efficiently.",Increased efficiency in generating mineral resource assessments.,,,,FALSE,,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0036,Water Time-Series Record Automation Framework development,USGS,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Leverage AI/ML to streamline USGS time-series data processing workflows,The AI/ML algorithms would be leveraged to help streamline data correction processes associated with time-series data record production in extensible software automation solutions.,"The system will automatically apply, or suggest application of, corrections that will be layered on the raw time-series data to compute a final corrected time-series dataset.",,,,FALSE,,,,FALSE,,,FALSE,,,,,Yes – by another appropriate agency office or reviewer not directly involved in the AI’s development,"Yes, sufficient monitoring protocols have been established","Yes, sufficient and periodic training has been established",Not applicable,Establishment of an appropriate appeal process is in-progress,,,,,,,,,,,
DOI-0035,Using advanced computing techniques for mobile monitoring platforms [2024 INV#WO0000000109492],USGS,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Support the navigation and swarming capabilities of autonomous vehicle platforms for water monitoring,Improved spatial data collection on water quality and quantity,Spatial water data,,,,FALSE,,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0034,Using advanced computing techniques for image-based monitoring [2024 INV#WO0000000109674],USGS,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Provide tools and methods for leveraging image-based monitoring and machine learning approaches for measuring surface water properties.,USGS Water Mission Area improvements in operational efficiencies and reduction in safety incidents with application of image-based monitoring techniques and methods. Enhance data portfolio and provide new data types to stakeholders at reduced cost,Auto-labeled imagery for use in training ML models; Pre-trained models for determining water level elevation; Enhanced video files for computation of surface velocities; Auto-generated ice-affected data qualifiers,,Developed in-house,,FALSE,,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0033,AI for Offshore Energy: Innovative Technology Streamlines Marine Wildlife Surveys [2024 INV#DOI-66],FWS,caio@doi.gov,a) No,Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Energy & the Environment,Computer Vision,"Offshore energy development requires environmental assessments; using AI technology to conduct offshore migratory bird counts can efficiently provide such data, however, substantial automation is required","Counts of migratory birds with a high degree of accuracy, long-term cost efficiency, safety is improved for pilots due to remote sensing technology",Abundance and distribution data on migratory birds,8/15/2021,Developed with both contracting and in-house resources,Quantaero,FALSE,,Remote sensing data are acquired by FWS aircraft and camera systems.,,FALSE,,None of the Above,TRUE,https://github.com/USFWS/AI-for-USFWS-Migratory-Birds,,,,,,,,,,,,,,,,,,,
DOI-0032,CONUS EcoFlows Planning & Prototype [2024 INV#WO0000000109732],USGS,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,National-scale ecological-flow response models,Predictions of flow conditions of sites with anthropogenic influences where biological data exists to meet agency mission of assessing water availability,Dataset of benchmark estimates of unaltered flow conditions used in later ecological modeling for water availability,,,,FALSE,,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0031,"Nutrient, Salinity, sediment, temperature, and drought model development",USGS,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"Simulate nutrients (phosphorus and nitrate), temperature, sediment, and salinity in streams across the U.S.","Includes prototype streamflow drought forecasts using data-driven, machine learning approaches for USGS gage locations across  continental U.S. Provides model results on water quality aspects to meet agency mission of assessing water availability","Digital datasets of nutrients (phosphorus and nitrate), temperature, sediment, and salinity in streams across the U.S. and prototype streamflow drought forecasts",,,,FALSE,,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0030,Water Use Model Development [2024 INV#WO0000000109669],USGS,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Estimate multiple categories of water use across the U.S.,Outcome is quantified water demand across the U.S. to meet agency mission of assessing water availability,Digital datasets of estimates of water use,,Developed in-house,,FALSE,,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0029,AI-Powered Wildlife Monitoring on National Wildlife Refuges,FWS,caio@doi.gov,a) No,Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Service Delivery,Computer Vision,"For whooping crane, traditional survey approach is to estimate population size by conducting 6 repeated surveys due to limits of human observer surveys.  Surveys of waterfowl are experimental and looking to improve the accuracy of surveys and to obtain improved measures of population sizes. ",Cost efficiency and improved data quality.,"Counts of migratory birds. For waterfowl, data can inform harvest management and provide spatially explicit abundance estimates. For whooping crane, goal is to monitor population trends.",1/22/2025,Developed in-house,,FALSE,,Imagery data is acquired by FWS aircraft and camera system,,FALSE,,None of the Above,TRUE,https://github.com/USFWS/AI-for-WHCR,,,,,,,,,,,,,,,,,,,
DOI-0028,Implementation of Artificial Intelligence to Estimate Population Size of a Migratory Bird from Aerial Thermal Imagery [2024 INV#DOI-67],FWS,caio@doi.gov,a) No,Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Service Delivery,Computer Vision,Current survey approach has excessive variability that cannot be biologically explained. New approach is warranted to inform harvest management,"Improved safety for pilots and crew because of remote sensing methods, potential for cost efficiency if approach is fully implemented, and improves data quality to inform harvest management. ",A population estimate and distribution data for this hunted migratory bird. ,3/24/2025,Developed in-house,,FALSE,,Imagery data acquired by FWS aerial photography,,FALSE,,None of the Above,TRUE,https://github.com/USFWS/AI-for-SACR,,,,,,,,,,,,,,,,,,,
DOI-0027,Atlas.ti (Qualitative Data Analysis Software),FWS,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Natural Language Processing (NLP),"Existing software, such as Excel, was insufficient for the increasing quantity of qualitative data collected, necessitating the need for specialized software geared towards qualitative data analyses.",The software increases the efficiency of qualitative data analyses and could automate labor-intensive tasks. A qualified social scientist is involved in the final analysis and insights to ensure accuracy and compliance with regulatory standards.,"There are currently no or limited AI outputs as those features are not currently supported. However, future outputs could include automated assessment of themes, sentiment analysis, and summarization of responses.",,,,FALSE,,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0025,FOIA Record Pre-Review Tool ,SOL,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Other,Natural Language Processing (NLP),Records review is a the resource intensive step of FOIA request processing that would most benefit from AI assistance and optimization. ,Improve the speed and accuracy of records review. ,"Spreadsheet of ""Hits"" or items that will be uploaded to the document review platform to queue reviewers attention to information that may fall under a FOIA or Privacy Act  Exemption.",,,,FALSE,,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0024,Document Review Platform Generative AI,SOL,caio@doi.gov,a) No,Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Other,Generative AI,FOIA Request Processing is the resource intensive step of the process that would benefit from AI assistance and optimization. ,Potential benefits include increasing the speed and accuracy of document review. ,TBD,,,,FALSE,,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0021,Microsoft eDiscovery Attorney-Client Privilege Detection,SOL,caio@doi.gov,a) No,Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Other,Classical/Predictive Machine Learning,Identifying information subject to a FOIA exemption. ,Improving speed and accuracy in identifying information that may fall under a FOIA exemption. This tool has recently been activated and we are gathering data to see if it is useful in FOIA operations,The model provides an attorney-client privilege score and indicates if an attorney is a participant in the document.,9/1/2025,Purchased from a vendor,Microsoft,FALSE,,Resident in Microsoft eDiscovery for all files. ,,FALSE,,None of the Above,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0020,FOIA Request Lexical Similarity Tool in the Document Review Platform (Term Frequency – Inverse Document Frequency (TF-IDF) - Cosine),SOL,caio@doi.gov,a) No,Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Other,Natural Language Processing (NLP),Identifying Similar FOIA Requests,Identifying requests that are nearly identical assists in reducing the duplication of work. Records that are identical or nearly identical can be deduplicated out or processed in bulk. ,Percentage similarity between documents. Developed in house selected because this is not an out of the box function available in the document review platform. ,8/1/2023,Developed in-house,,FALSE,,FOIA Requests,,FALSE,,None of the Above,TRUE,,,,,,,,,,,,,,,,,,,,
DOI-0019,Enabling FOIA Request Clustering Capability in the Document Review Platform (Density Based Algorithm alongside Term Frequency – Inverse Document Frequency (TF-IDF)),SOL,caio@doi.gov,a) No,Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Other,Natural Language Processing (NLP),Identifying Contextually Similar FOIA Requests. Developed in house is selected because while the document review platform is used it is not an out of the box functionality. ,"This tool assists in identifying contextually similar FOIA requests but has some limitations such as editing stop words. While we still use this tool sometimes, we primarily use our in-house built tool.","Grouped requests into clusters based on TF-IDF weighted vocabulary. Documents with distinctive overlapping terms form conceptual groups. This provides a visualization of requests that are conceptually similar. The clusters assist in identifying emerging topics of public interest, opportunities where proactive disclosure may fulfill multiple requests, and opportunities for collaboration on responses across multiple bureaus. While we primarily use our own in-house built tool for this capability, there are times when we still leverage this version. ",8/1/2023,Developed in-house,,FALSE,,FOIA requests,,FALSE,,None of the Above,TRUE,,,,,,,,,,,,,,,,,,,,
DOI-0018,FOIA Request Clustering Tool (Embedding based clustering alongside Term Frequency – Inverse Document Frequency (TF-IDF)),SOL,caio@doi.gov,a) No,Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Other,Natural Language Processing (NLP),Identifying FOIA requests that share lexical and/or semantic similarity. ,Quickly identifying similar FOIA requests.,Cluster Visualization to facilitate identifying similar requests. ,11/3/2023,Developed in-house,,FALSE,,FOIA Requests,,FALSE,,None of the Above,TRUE,,,,,,,,,,,,,,,,,,,,
DOI-0017,FOIA Request Conceptual Similarity Tool (Semantic Similarity Score Generation),SOL,caio@doi.gov,a) No,Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Other,Natural Language Processing (NLP),Identifying contextually similar FOIA requests received by the department.,Reduces duplication of work when similar requests are submitted to multiple offices. These requests can be coordinated for uniform responses. ,Semantic Similarity Score,11/3/2023,Developed in-house,,FALSE,,FOIA Requests,,FALSE,,None of the Above,TRUE,,,,,,,,,,,,,,,,,,,,
DOI-0016,Performance Modeling / Performance Forecasting,SOL,caio@doi.gov,a) No,Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Administrative Functions,Classical/Predictive Machine Learning,Estimating the number or requests that can be processed by a FOIA processor or bureau each year. ,Expected performance. Identifying important variables. Assists in resource allocation decisions.,Expected number of requests to be processed. ,11/30/2022,Developed in-house,,FALSE,,FOIA Annual Report Data,https://www.foia.gov/data.html,FALSE,,None of the Above,FALSE,,,,,,,,,,,,,,,,,,,,
DOI-0015,,FWS,caio@doi.gov,a) No,Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Law Enforcement,Other,N/A,Supports research and analysis using publicly available information to assist agency mission needs.,The tool streamlines the process of gathering open-source data from a variety of online sources to improve operational efficiency.,3/1/2024,Purchased from a vendor,,TRUE,,Social media accounts,,FALSE,,None of the Above,FALSE,,,,,,,,,,,,,,,,,,,,
